[2025-02-26 13:12:06] User: ishigami_v (ID: 835549363186040872) | Channel: 1123969627895107584 | Command: !hello
[2025-03-01 22:14:14] User: ishigami_v (ID: 835549363186040872) | Channel: 948149465188020235 | Command: !hello bsdk
[2025-03-04 11:32:55] User: ishigami_v (ID: 835549363186040872) | Channel: 1124000851258785913 | Command: !roll 3
[2025-03-04 11:33:04] User: ishigami_v (ID: 835549363186040872) | Channel: 1124000851258785913 | Command: !roll
[2025-03-04 11:39:13] User: ishigami_v (ID: 835549363186040872) | Channel: 1124000851258785913 | Command: !wiki rias gremory
[2025-03-04 11:42:04] User: ishigami_v (ID: 835549363186040872) | Channel: 1124000851258785913 | Command: !wiki rias gremory
[2025-03-04 11:45:56] User: ishigami_v (ID: 835549363186040872) | Channel: 1124000851258785913 | Command: !wiki rias gremory
[2025-03-04 11:48:26] User: ishigami_v (ID: 835549363186040872) | Channel: 1124000851258785913 | Command: !wiki rias gremory
[2025-03-04 11:49:12] User: ishigami_v (ID: 835549363186040872) | Channel: 1124000851258785913 | Command: !wiki c++
[2025-03-04 11:57:41] User: ishigami_v (ID: 835549363186040872) | Channel: 1124000851258785913 | Command: !fandom rias gremory
[2025-03-04 11:59:11] User: ishigami_v (ID: 835549363186040872) | Channel: 1124000851258785913 | Command: !fandom rias gremory
[2025-03-04 12:02:15] User: ishigami_v (ID: 835549363186040872) | Channel: 1124000851258785913 | Command: !fandom rias gremory
[2025-03-04 12:06:47] User: ishigami_v (ID: 835549363186040872) | Channel: 1124000851258785913 | Command: !fandom rias gremory
[2025-03-04 12:08:31] User: ishigami_v (ID: 835549363186040872) | Channel: 1124000851258785913 | Command: !fandom rias gremory
[2025-03-04 12:08:53] User: ishigami_v (ID: 835549363186040872) | Channel: 1124000851258785913 | Command: !fandom rias gremory
[2025-03-04 12:09:54] User: ishigami_v (ID: 835549363186040872) | Channel: 1124000851258785913 | Command: !hello
[2025-03-04 12:10:07] User: ishigami_v (ID: 835549363186040872) | Channel: 1124000851258785913 | Command: !fandom erza scarlet
[2025-03-04 12:13:34] User: ishigami_v (ID: 835549363186040872) | Channel: 1124000851258785913 | Command: !fandom rias gremory
[2025-03-04 12:14:00] User: ishigami_v (ID: 835549363186040872) | Channel: 1124000851258785913 | Command: !hello
[2025-03-04 12:23:08] User: ishigami_v (ID: 835549363186040872) | Channel: 1124000851258785913 | Command: !fandom rias gremory
[2025-03-05 00:02:17] User: ishigami_v (ID: 835549363186040872) | Channel: 1124000851258785913 | Command: !HELLO
[2025-03-05 00:02:33] User: ishigami_v (ID: 835549363186040872) | Channel: 1124000851258785913 | Command: !start
[2025-03-14 21:07:30] User: ishigami_v (ID: 835549363186040872) | Channel: 956607195036925992 | Command: !setforward 991391093595832380
[2025-03-14 21:07:55] User: ishigami_v (ID: 835549363186040872) | Channel: 956607195036925992 | Command: !setmessage 991391093595832380
[2025-03-14 21:09:01] User: ishigami_v (ID: 835549363186040872) | Channel: 956607195036925992 | Command: !setmessage 991391093595832380 pog-drops
[2025-03-14 21:09:28] User: ishigami_v (ID: 835549363186040872) | Channel: 956607195036925992 | Command: !star
[2025-03-14 21:10:27] User: ishigami_v (ID: 835549363186040872) | Channel: 1344032183886544998 | Command: !help
[2025-03-14 21:13:36] User: ishigami_v (ID: 835549363186040872) | Channel: 1343634052384690226 | Command: !star
[2025-03-14 21:23:56] User: ishigami_v (ID: 835549363186040872) | Channel: 949313839055388752 | Command: !math 40*160
[2025-03-14 21:24:24] User: ishigami_v (ID: 835549363186040872) | Channel: 949313839055388752 | Command: !math 5400+800+800+1600
[2025-03-14 21:33:10] User: ishigami_v (ID: 835549363186040872) | Channel: 1343634052384690226 | Command: !star
[2025-03-14 21:33:26] User: ishigami_v (ID: 835549363186040872) | Channel: 1343634052384690226 | Command: !star
[2025-03-14 21:34:32] User: ishigami_v (ID: 835549363186040872) | Channel: 1343634052384690226 | Command: !setmessage 1124000851258785913 bot_spam_test
[2025-03-14 21:35:25] User: ishigami_v (ID: 835549363186040872) | Channel: 1343634052384690226 | Command: !setmessage 1124000851258785913 bot_spam_test
[2025-03-14 21:42:05] User: ishigami_v (ID: 835549363186040872) | Channel: 1343634052384690226 | Command: !setmessage 1124000851258785913 bot_spam_test
[2025-03-14 21:42:21] User: ishigami_v (ID: 835549363186040872) | Channel: 1343634052384690226 | Command: !star
[2025-03-14 21:49:11] User: ishigami_v (ID: 835549363186040872) | Channel: 1344032183886544998 | Command: !help
[2025-03-14 21:49:48] User: ishigami_v (ID: 835549363186040872) | Channel: 1344032183886544998 | Command: !repli 12 hello!
[2025-03-14 21:50:02] User: ishigami_v (ID: 835549363186040872) | Channel: 1344032183886544998 | Command: !repli 12, hello!
[2025-03-14 21:50:19] User: ishigami_v (ID: 835549363186040872) | Channel: 1344032183886544998 | Command: !purge 12
[2025-03-14 21:51:38] User: ishigami_v (ID: 835549363186040872) | Channel: 1344032183886544998 | Command: !purge 2
[2025-03-14 21:54:26] User: ishigami_v (ID: 835549363186040872) | Channel: 1344032183886544998 | Command: !help
[2025-03-14 21:55:14] User: ishigami_v (ID: 835549363186040872) | Channel: 956607195036925992 | Command: !repli 1, kd
[2025-03-14 21:59:22] User: ishigami_v (ID: 835549363186040872) | Channel: 1344032183886544998 | Command: !msg c948149465188020235 u545179688738488320 soja bhai <:ded:948473068978864158>
[2025-03-14 22:01:53] User: ishigami_v (ID: 835549363186040872) | Channel: 1344032183886544998 | Command: !bonk 948149465188020235 ehe
[2025-03-14 22:07:27] User: ishigami_v (ID: 835549363186040872) | Channel: 1344032183886544998 | Command: !pin
[2025-03-14 22:07:35] User: ishigami_v (ID: 835549363186040872) | Channel: 1344032183886544998 | Command: !help
[2025-03-14 22:07:39] User: ishigami_v (ID: 835549363186040872) | Channel: 1344032183886544998 | Command: !pin
[2025-03-14 22:09:05] User: ishigami_v (ID: 835549363186040872) | Channel: 1344032183886544998 | Command: !help
[2025-03-14 22:09:30] User: ishigami_v (ID: 835549363186040872) | Channel: 1344032183886544998 | Command: !help
[2025-03-14 22:09:56] User: ishigami_v (ID: 835549363186040872) | Channel: 1344032183886544998 | Command: !help
[2025-03-14 22:10:11] User: ishigami_v (ID: 835549363186040872) | Channel: 1344032183886544998 | Command: !pin
[2025-03-14 22:15:54] User: ishigami_v (ID: 835549363186040872) | Channel: 1344032183886544998 | Command: !pin
[2025-03-14 22:16:59] User: ishigami_v (ID: 835549363186040872) | Channel: 1344032183886544998 | Command: !wiki wuthering waves
[2025-03-14 22:17:36] User: ishigami_v (ID: 835549363186040872) | Channel: 1344032183886544998 | Command: !wiki genshin impact
[2025-03-14 22:18:23] User: ishigami_v (ID: 835549363186040872) | Channel: 1344032183886544998 | Command: !wiki genshin impact
[2025-03-14 22:23:43] User: ishigami_v (ID: 835549363186040872) | Channel: 1344032183886544998 | Command: !wiki genshin impact
[2025-03-14 22:24:20] User: ishigami_v (ID: 835549363186040872) | Channel: 1344032183886544998 | Command: !wiki zenless zones zero
[2025-03-14 22:56:31] User: ishigami_v (ID: 835549363186040872) | Channel: 1344032183886544998 | Command: !bonk 948149465188020235 nigga
[2025-03-15 00:55:30] User: ishigami_v (ID: 835549363186040872) | Channel: 1344032183886544998 | Command: !help
[2025-03-15 17:40:42] User: ishigami_v (ID: 835549363186040872) | Channel: 956607195036925992 | Command: !star
[2025-03-15 17:40:57] User: ishigami_v (ID: 835549363186040872) | Channel: 956607195036925992 | Command: !setmessage 991391093595832380
[2025-03-15 17:41:11] User: ishigami_v (ID: 835549363186040872) | Channel: 956607195036925992 | Command: !setmessage 991391093595832380
[2025-03-15 17:41:21] User: ishigami_v (ID: 835549363186040872) | Channel: 956607195036925992 | Command: !star
[2025-03-15 17:41:31] User: ishigami_v (ID: 835549363186040872) | Channel: 956607195036925992 | Command: !star
[2025-03-15 17:48:14] User: ishigami_v (ID: 835549363186040872) | Channel: 956607195036925992 | Command: !hello
[2025-03-15 17:48:19] User: ishigami_v (ID: 835549363186040872) | Channel: 956607195036925992 | Command: !star
[2025-03-15 17:48:24] User: ishigami_v (ID: 835549363186040872) | Channel: 956607195036925992 | Command: !setmessage 991391093595832380
[2025-03-15 17:48:42] User: ishigami_v (ID: 835549363186040872) | Channel: 956607195036925992 | Command: !star
[2025-03-15 17:54:56] User: ishigami_v (ID: 835549363186040872) | Channel: 956607195036925992 | Command: !star
[2025-03-15 17:55:06] User: ishigami_v (ID: 835549363186040872) | Channel: 956607195036925992 | Command: !star
[2025-03-15 17:57:32] User: ishigami_v (ID: 835549363186040872) | Channel: 956607195036925992 | Command: !star
[2025-03-15 17:57:42] User: ishigami_v (ID: 835549363186040872) | Channel: 956607195036925992 | Command: !star
[2025-03-15 17:57:54] User: ishigami_v (ID: 835549363186040872) | Channel: 956607195036925992 | Command: !setmessage 991391093595832380
[2025-03-15 17:58:22] User: ishigami_v (ID: 835549363186040872) | Channel: 956607195036925992 | Command: !star
[2025-03-15 18:01:40] User: ishigami_v (ID: 835549363186040872) | Channel: 956607195036925992 | Command: !star
[2025-03-15 18:05:46] User: ishigami_v (ID: 835549363186040872) | Channel: 956607195036925992 | Command: !hello
[2025-03-15 18:05:49] User: ishigami_v (ID: 835549363186040872) | Channel: 956607195036925992 | Command: !star
[2025-03-15 18:05:55] User: ishigami_v (ID: 835549363186040872) | Channel: 956607195036925992 | Command: !star
[2025-03-15 18:24:06] User: ishigami_v (ID: 835549363186040872) | Channel: 1343634052384690226 | Command: !purge 12
[2025-03-15 18:24:23] User: ishigami_v (ID: 835549363186040872) | Channel: 1343634052384690226 | Command: !star
[2025-03-15 19:52:30] User: ishigami_v (ID: 835549363186040872) | Channel: 1344032183886544998 | Command: !help
[2025-03-15 19:52:36] User: ishigami_v (ID: 835549363186040872) | Channel: 1344032183886544998 | Command: !msg
[2025-03-15 19:53:00] User: ishigami_v (ID: 835549363186040872) | Channel: 1344032183886544998 | Command: !msg c956607195036925992 u835549363186040872 kd
[2025-03-15 20:09:27] User: ishigami_v (ID: 835549363186040872) | Channel: 1344032183886544998 | Command: !setmessage 991391093595832380
[2025-03-15 20:09:33] User: ishigami_v (ID: 835549363186040872) | Channel: 1344032183886544998 | Command: !star
[2025-03-15 20:13:43] User: ishigami_v (ID: 835549363186040872) | Channel: 1344032183886544998 | Command: !setmessage 991391093595832380
[2025-03-15 20:13:58] User: ishigami_v (ID: 835549363186040872) | Channel: 1344032183886544998 | Command: !star
[2025-03-15 20:14:20] User: ishigami_v (ID: 835549363186040872) | Channel: 956607195036925992 | Command: !star
[2025-03-15 20:24:05] User: ishigami_v (ID: 835549363186040872) | Channel: 991391093595832380 | Command: !star
[2025-03-15 20:24:14] User: ishigami_v (ID: 835549363186040872) | Channel: 991391093595832380 | Command: !purge 3
[2025-03-15 20:24:30] User: ishigami_v (ID: 835549363186040872) | Channel: 1343634052384690226 | Command: !star
[2025-03-15 20:24:43] User: ishigami_v (ID: 835549363186040872) | Channel: 1343634052384690226 | Command: !star
[2025-03-15 20:24:54] User: ishigami_v (ID: 835549363186040872) | Channel: 1343634052384690226 | Command: !setmessage 1124000851258785913
[2025-03-15 20:25:00] User: ishigami_v (ID: 835549363186040872) | Channel: 1343634052384690226 | Command: !star
[2025-03-15 20:27:23] User: ishigami_v (ID: 835549363186040872) | Channel: 1343634052384690226 | Command: !star
[2025-03-15 20:27:45] User: ishigami_v (ID: 835549363186040872) | Channel: 1343634052384690226 | Command: !purge 12
[2025-03-15 20:39:37] User: ishigami_v (ID: 835549363186040872) | Channel: 1343634052384690226 | Command: !star
[2025-03-15 20:41:12] User: ishigami_v (ID: 835549363186040872) | Channel: 1343634052384690226 | Command: !star
[2025-03-15 20:44:27] User: ishigami_v (ID: 835549363186040872) | Channel: 1343634052384690226 | Command: !star
[2025-03-15 20:49:30] User: ishigami_v (ID: 835549363186040872) | Channel: 1343634052384690226 | Command: !star
[2025-03-15 20:56:04] User: ishigami_v (ID: 835549363186040872) | Channel: 1343634052384690226 | Command: !star
[2025-03-15 20:56:35] User: ishigami_v (ID: 835549363186040872) | Channel: 956607195036925992 | Command: !star
[2025-03-15 20:56:52] User: ishigami_v (ID: 835549363186040872) | Channel: 956607195036925992 | Command: !purge 3
[2025-03-16 08:28:14] User: ishigami_v (ID: 835549363186040872) | Channel: 1124000851258785913 | Command: !purge 3
[2025-03-16 08:28:26] User: ishigami_v (ID: 835549363186040872) | Channel: 1343634052384690226 | Command: !star
[2025-03-16 09:03:43] User: ishigami_v (ID: 835549363186040872) | Channel: 1344032183886544998 | Command: !points
[2025-03-16 09:03:49] User: ishigami_v (ID: 835549363186040872) | Channel: 1344032183886544998 | Command: !start
[2025-03-16 09:04:21] User: ishigami_v (ID: 835549363186040872) | Channel: 1344032183886544998 | Command: !start
[2025-03-16 09:04:53] User: ishigami_v (ID: 835549363186040872) | Channel: 1344032183886544998 | Command: !start
[2025-03-16 09:05:35] User: ishigami_v (ID: 835549363186040872) | Channel: 1344032183886544998 | Command: !points
